articleID,userID,comment,userlike,time
4188755,1050507648,"Đà Lạt khu du lịch lang biang cũng sử dụng xe này , thật sự khi đi rồi mới thấy nguy hiểm lắm vậy sao mà cứ sử dụng hoài ,, nên kiếm loại xe nào thay thế kẻo xảy ra sự cố đáng tiếc và cái giá đắt về mạng người,,,!!!",86,2h trước
4188755,1004391354,Đường đồng văn mèo vạc hiểm trở mà sao nhóm khách du lịch cũng dám ngồi con u oát này cơ chứ xin chia buồn,42,2h trước
4188755,1045606201,"Mấy chiếc xe của Nga này khỏe lắm! Lên dốc chạy ào ào! Ở đỉnh Langbiang Đà Lạt, sợ gần chết! Chuyển nào cũng chật cứng! Sau tai nạn này đề nghị kiểm tra thật kỹ, tránh tai nạn lập lại!",17,1h trước
4188755,1043033099,"Đường dốc bên cạnh là vực thẳm thế này thực sự là quá nguy hiểm nếu ko có rào chắn,xin chia buồn với gia đình người đã khuất",13,2h trước
4188755,1062499400,Nam mô a di Đà phật xin chia buồn cùng với các gia đình nạn nhân tử vong và bị thương đi đường đèo núi cao với những chiếc xe cũ 30 năm sử dụng rồi thì thật sự mất an toàn và rất nguy hiểm chỉ cần trục trặc hệ thống côn phanh thì coi như là the end,12,2h trước
4188755,1012916750,"Labiang nên dùng cáp treo, mình đi xe thấy cực kỳ mạo hiểm",3,1h trước
4188755,1049328464,"Mỗi lần đi Hà Giang, Tôi chỉ mong thầm là về được thành phố chỗ con đường bằng, chứ đi trên những vách núi thì luôn lo sợ chỉ một phút giây lơ là của tài xế là mình có thể mất mạng!",3,1h trước
4188755,1049352367,"Xe cũ quá rồi, công nghệ lạc hậu, xe có thể mất phanh mất lái bất cứ lúc nào. Xin chia buồn cùng các gđ nạn nhân.",3,1h trước
4188755,1004631795,Khi quá tự tin vào tay lái cũng là 1 tai họa. Lúc trước mình có đi xe này 1 lần ở Đà Lạt. Xe chạy cũng rất ghê và nhanh.,2,1h trước
4188755,1059655727,"Tháng trước mình mới đi đúng chỗ này ạ, dân lái ẩu cực kỳ. Bản thân mình cũng bị 1 anh vừa lái vừa bấm điện thoại tông cho sứt sẹo khắp người, chưa bao giờ ngã xe máy nặng như thế. Đường chỗ này cực dốc, một bên là vực, may mà mình ngã về phía bờ đất chứ ko phải phía vực.",0,32' trước
4188755,1061065441,"Đến ạ lái xe, cái đường xuống Bản Mồ là đường cấp phối to vật vã, không hiểu đi kiểu gì mà lao xuống vực nổi @@",0,46' trước
4188755,1061601392,"Hy vọng Đà Lạt sẽ không lặp lại thảm cảnh này, khi mọi cung đèo leo dốc vẫn đang dùng loại xe này.",0,49' trước
4186967,1062413715,"Dù không phải người miền Trung, chưa từng tận mắt thấy nước lũ nhưng mỗi khi đọc những bài viết về sụ tàn phá của sạt lở, của nước lũ, của sự mất mát khoé mắt N lại cay cay. Mong cho sự giúp đỡ của các nhà hảo tâm sớm đến được với mọi người, thiên nhiên và thời tiết sẽ yên ổn hơn để mọi người sẽ có cuộc sống tốt hơn.",36,16:04 7/11
4186967,1045115910,"Lũ về quét sạch thôn làng<br/>Heo, bò gà vịt mùng màn chiếu chăn<br/>Bây giờ chẳng có để ăn<br/>Nghĩ chi chuyện tết xa xăm thật buồn<br/>Lá lành đùm rách mãi luôn<br/>Mong mọi người giúp nỗi buồn vơi đi !",22,14:17 7/11
4188304,1046493285,"Nếu thuyền trường đeo phao cứu sinh thì chắc chắn vẫn còn sống, đang trôi nổi ở đâu đấy thôi, khẩn trương mở rộng địa bàn tìm kiếm, sẽ tìm được.",22,12:10 7/11
4188304,1013764606,Tại sao những cái tầu to như thế này mà lại không có thuyền dự phòng nhỉ?,17,12:28 7/11
4188304,1004770025,Hy vọng thuyền trưởng được cứu sống.,16,14:23 7/11
4188304,1003625169,Đau thương nối tiếp những đau thương ! Mong sớm cứu được vị thuyền trưởng,14,12:39 7/11
4188296,1032023115,"Rất hợp lý, các cơ sở công nên đi đầu trong chiến lược dùng năng lượng sạch để nâng cao hiệu quả và giảm gánh nặng cho ngành điện lực, điện các nhà máy dư ra thì để dùng cho hoạt động sản xuất, kinh doanh nhằm phát triển kinh tế xã hội. Miền nam có bản đồ nhiệt cao gần như quanh năm, các nước khác muốn cũng không được trong khi đó chiến lược sử dụng năng lượng mặt trời của chúng ta có vẻ hơi chậm so với tiềm năng và nhu cầu của nền kinh tế.",208,11:50 7/11
4188296,1043760530,"Sau này phần lớn vật liệu năng lượng này bỏ đi thì xử lý rác thải thế nào? Các nhà môi trường, sản xuất, cung ứng.... có tính đến việc này không?",173,13:07 7/11
4188296,1050123547,"Chủ trương rất đúng, cần nhân rộng ngay ra tất cả các tỉnh thành",89,11:50 7/11
4188296,1002965337,"Tận dụng vậy rất tốt, sẵn chỗ đèn đỏ làm máy che bằng pin năng lượng luôn, vừa mát vừa bán được tiền điện.",78,14:00 7/11
4188296,1011385891,"Rất chuẩn. Khi các công sở làm việc hành chính, nên sử dụng năng lượng trời không lưu trữ chi phí thấp lắp đặt và bảo dưỡng thấp hơn rất nhiều. Đặc biệt là trong miền nam thì năng quanh năm nên năng lượng mặt trời là rất dồi dào và ổn định.",35,14:15 7/11
4188296,1002950216,Chủ trương rất đúng. Nhưng giám sát giá cả tránh đội giá.,22,12:46 7/11
4188296,1061173535,"Trường học, bệnh viện, đèn đường, đèn công viên luôn.",19,13:31 7/11
4188296,1014546837,Quan trọng là sử dụng tiết kiệm điện tại công sở thay vì lắp đặt tràn lan điện năng lượng mặt trời như hiện nay. Liệu rằng tấm pin này sau bao nhiêu năm rồi xử lý sao có nguy hại cho môi trường không???,12,15:03 7/11
4188296,1051592665,"Ý tưởng tuyệt vời! Nhưng 1 số cơ sở công là các tòa nhà cổ, không phù hợp để lắp đặt vì sẽ làm hư hỏng và thay đổi giá trị của tòa nhà, ở những vị trí này thì không nên lắp đặt.",12,14:39 7/11
4188296,1059924081,Cần tính toán kỹ việc xử lý các tấm vật liệu (pin) năng lượng mặt trời sau khi hết hạn sử dụng hoặc hư hỏng thì sẽ như thế nào? có tác hại đến mội trường hay không?,10,12:50 7/11
4188296,1033731150,Mình đã từng đề xuất lắp hệ thống này tại ubnd xã. Và bị đánh giá là ko khả thi. Mỗi tháng ubnd xã sd khoảng 3 tr tiền điện. Chỉ cần lắp hệ thống 100tr mình nghĩ là sd đủ,10,12:31 7/11
4188257,1048485619,"Cầu mong người dân HA bình an , mong sao phố cổ HA vẫn giữ được trọn vẹn .",40,11:50 7/11
4188257,1059763800,"Miền Trung kỳ này lũ lụt lặp đi lặp lại, bà con mình thật khổ và vất vả. Cầu mong mọi người được bình an và khó khăn sớm qua đi với người dân nơi đây !",12,11:58 7/11
4188257,1054923347,Nước dâng cao mà bà mẹ chở em bé bằng xe đạp nguy hiểm quá,6,16:45 7/11
4188257,1052950855,Nhớ Hội an quá! Mong bình yên,6,13:56 7/11
4188257,1032284273,"Trời không mưa, thủy điện thì giảm xả mà vẫn lụt?",4,13:42 7/11
4188257,1057161163,Nam mô A di đà Phật! Cầu mong mọi người bình an!,2,18:35 7/11
4188257,1041606208,"Ngày xưa nghe bài ""Quê em mùa nước lũ"" là gợi nhớ đến cảnh nước lũ của miền Tây. Bây giờ thì miền Tây hầu như không có lũ, chỉ có miền Trung là bị lũ nặng nề. Bài hát này chắc phải chuyển bối cảnh thôi.",1,17:35 7/11
4188257,1003034422,"Hội An nhiều năm liền mưa to, có bão là ngập. Không có biện pháp nào để khắc phục nhỉ?",0,21:15 7/11
4188144,1039720404,"Các thủy điện nhỏ chủ yếu hoạt động được vào mùa mưa khi còn có nước, mùa khô vì có quá nhiều thủy điện nên không có nước hoặc có thì rất ít, nhưng bị sạt lở thế này phải khắc phục hàng tháng trời mới hoạt động lại bình thường thì thử hỏi tiền bán điện có đủ tiền để trả lãi vay ngân hàng, tiền khắc phục sự cố bão lũ, tiền vận hành nhà máy, khấu hao....đã có nhà máy thủy điện Sông Bung 5 rao bán 1390 tỷ mà chưa có ai mua, là lời cảnh tỉnh cho những ai đầu tư vào thủy điện nhỏ mà lại vay ngân hàng.",12,11:43 7/11
4188144,1032244512,Tại trời mưa to rồi!,3,10:24 7/11
4188144,1057161163,Nam mô A di đà Phật! Cầu mong mọi người bình an!,2,09:27 7/11
4182479,1020184523,Rất mong các công trình cầu nối trung tâm và khu Thủ Thiêm sớm thi công và hoàn tất vì dân số khu Nam đã rất đông đúc.,20,11h trước
4182479,1048490772,Nghe rất lâu rồi nhất là cầu Nguyễn Khoái !!! Hãy đợi nhé.,18,11h trước
4182479,1051888260,"Rất mong TP đầu tư nguồn lực để sớm hoàn thành dự án này, đừng lập lại điệp khúc thiếu vốn, chậm tiến độ...dân khu Nam đang mong hàng ngày.",16,11h trước
4182479,1050086029,"Cầu Kênh tẻ kẹt xe không chỉ một hướng mà cả hai chiều nên không thể chỉ tạo hầm chui cho giao lộ Nguyễn Hữu Thọ và Nguyễn Văn Linh , cần phải nhanh chóng triển khai dự án cầu Nguyễn Khoái qua quận 4 và cầu nối qua quận 7 , cũng như cầu Thủ Thiêm 4 thì mới hiệu quả giảm áp lực chung giao thông từ trung tâm ra quận 7 về cửa ngõ phía Nam thành phố .",8,10h trước
4182479,1007710325,Bí mật của thành phố hiện đại chính là hệ thống giao thông công cộng hoàn chỉnh. Khi nào SG có hệ thống MRT hoàn chỉnh như Singapore?,4,12h trước
4182479,1003405568,"Nhà mình ở 1 KDC&nbsp; chỉ đối diện 1 siêu thị trên đường Nguyễn Hữu Thọ thôi, tính ra cách cầu kênh tẻ không quá 1,5Km nhưng mỗi ngày mình đều dành hơn 30P để qua cầu và đi làm ở đường khánh hội Q4 ngay dưới chân cầu kênh tẻ quá chán nản về cây cầu. Chưa kể khu nam luôn trong tình trạng ngập bất kể nắng hay mưa hic",2,10h trước
4182479,1052404227,Cầu Bình Tiên đã có đầy đủ thiết kế sao không cho tiến hành trước. Dân quận 8 và Bình Chánh đã chờ cây cầu này hơn 10 năm nay rồi mà vẫn chưa thấy đâu. Chắc nên đổi tên thành cầu TREO thì hay hơn.,1,11h trước
